Material,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar
ORDC1114,2516,2410,2558,2109,2681,3423
ORDC1368,10,11,12,12,12,12
ORDC1397,40,40,40,40,40,40
ORDC1444,1003,921,1096,648,1012,1203
ORDC1698,1121,1304,1128,930,645,1187
ORDC1803,545,545,545,545,545,545
ORDC1808,2330,2124,2176,2055,1557,3364
ORDC1826,237,255,517,376,300,278
ORDC1965,1221,1323,1455,1122,1103,1107
ORDC2076,1859,3231,5265,2961,1681,2735
ORDC2184,91,104,126,73,83,125
ORDC2379,8,12,10,13,10,11
ORDC2477,0,25,0,23,0,30
ORM2223,3166,2835,2803,1718,1839,2753
ORM2250,3138,2896,2774,2713,2682,2666
ORSM606,1546,1367,1695,1200,1306,1876
ORSM618,5,8,6,8,2,9
ORSM667A,33,38,40,41,41,41
ORSM791,112,97,166,88,163,264
ORSM833,70,70,70,70,70,70
ORSM940,11,13,11,7,6,6
ORSM965,846,628,684,498,540,942
